Date,ARGT,COLO,ECH,EDEN,EFNL,EIDO,EIRL,EIS,ENZL,EPHE,EPOL,EPU,EWA,EWC,EWD,EWG,EWH,EWI,EWJ,EWK,EWL,EWM,EWN,EWO,EWP,EWQ,EWS,EWT,EWU,EWW,EWY,EWZ,EZA,GREK,INDA,KSA,MCHI,NORW,QAT,SPY,THD,TUR,UAE,VNM
2019-06-03,25.90395736694336,24.198331832885746,30.777793884277344,55.82915115356445,27.39576530456543,21.257200241088867,37.42110443115234,47.67503356933594,43.93142318725586,32.4373893737793,18.56855583190918,27.47265243530273,16.86808967590332,23.86382484436035,23.802099227905277,22.81658935546875,19.88972282409668,20.936561584472656,47.18463134765625,15.035758018493652,31.83652687072754,23.490339279174805,26.42531967163086,14.948593139648438,23.046619415283203,24.181873321533203,17.24285316467285,22.591629028320312,24.785797119140625,35.58279037475586,50.633888244628906,27.908166885375977,38.080055236816406,23.13411903381348,33.40261459350586,27.69940185546875,49.19987869262695,16.26835823059082,14.229164123535156,248.7506561279297,74.56525421142578,18.66026496887207,10.752278327941896,14.856034278869627
2019-06-04,26.244434356689453,24.871286392211918,31.14253234863281,55.91054916381836,27.723857879638672,21.156700134277344,37.97234344482422,48.69466781616211,43.56340026855469,31.95690155029297,18.626951217651367,27.52701759338379,17.12449073791504,24.21220016479492,24.25857734680176,23.270732879638672,20.02717399597168,21.47237014770508,47.72739028930664,15.220662117004396,31.93249893188477,23.458663940429688,26.79838180541992,15.208172798156738,23.44523429870605,24.48807907104492,17.355546951293945,22.69363784790039,25.07455062866211,36.2415771484375,50.99159622192383,28.30723762512207,37.47796249389648,22.511558532714844,33.310791015625,27.80250740051269,49.18220520019531,16.23642921447754,14.283413887023926,254.1501617431641,75.1709213256836,18.891660690307617,10.942652702331545,15.013190269470217
2019-06-05,26.327253341674805,24.67500877380371,30.92524719238281,55.883419036865234,27.60455703735352,21.13157081604004,37.999454498291016,48.850833892822266,43.50349044799805,31.9206485748291,18.48514175415039,27.68236923217773,17.054561614990234,24.238325119018555,24.35639762878418,23.186635971069336,20.02717399597168,21.31242561340332,47.75408935546875,15.187040328979492,32.115718841552734,23.44283676147461,26.76285171508789,15.154728889465332,23.40456199645996,24.546010971069336,17.272899627685547,22.652835845947266,25.051136016845703,36.47506713867188,50.48186111450195,27.64212417602539,36.93963623046875,22.48666000366211,33.044532775878906,27.63067054748535,48.7580680847168,16.547746658325195,14.182662010192873,256.3515930175781,75.1958236694336,18.99082946777344,10.813199996948242,14.99470043182373
2019-06-06,26.538902282714844,24.61892890930176,30.67691421508789,56.48937225341797,27.723857879638672,21.198575973510746,37.999454498291016,48.951881408691406,43.85439300537109,31.88438034057617,18.88553810119629,27.81441116333008,17.16333770751953,24.386388778686523,24.42975807189941,23.22868537902832,20.13228225708008,21.480365753173828,47.80747222900391,15.22906494140625,32.194236755371094,23.466583251953125,26.931617736816406,15.131827354431152,23.559125900268555,24.562562942504883,17.415651321411133,22.584827423095703,25.254045486450195,36.19987869262695,50.48186111450195,28.081098556518555,36.812129974365234,22.337247848510746,32.778263092041016,28.00870132446289,48.78457260131836,16.555728912353516,14.11291217803955,258.0186462402344,75.61897277832031,18.875133514404297,10.797968864440918,14.985455513000488
2019-06-07,26.870180130004883,24.983442306518555,30.863168716430664,56.99584579467773,28.00720977783203,21.349336624145508,38.31573867797852,49.42035675048828,44.25664520263672,31.90250587463379,19.16915512084961,28.35811424255371,17.365354537963867,24.517030715942383,24.86178207397461,23.43893814086914,20.26164436340332,21.73627471923828,48.38582611083984,15.36353874206543,32.56940460205078,23.50617218017578,27.331329345703125,15.33032512664795,23.843854904174805,25.08393859863281,17.558406829833984,22.74804306030273,25.55840110778809,36.33330535888672,50.93794250488281,28.333845138549805,37.15213394165039,22.36214828491211,32.87926483154297,28.1805362701416,49.32358551025391,16.635555267333984,14.190412521362305,260.6005859375,76.06700134277344,19.28833770751953,10.869548797607422,15.133370399475098
2019-06-10,27.25666618347168,25.151683807373047,31.057178497314453,57.276214599609375,28.18616485595703,21.483346939086918,38.72239685058594,49.38361358642578,43.81159591674805,31.693994522094727,19.12744903564453,28.264907836914062,17.365354537963867,24.56057548522949,24.92699241638184,23.472576141357425,20.601226806640625,21.81624794006348,48.60826873779297,15.388750076293944,32.63047790527344,23.490339279174805,27.437917709350582,15.33032512664795,23.900798797607425,25.141864776611328,17.671100616455078,22.884056091308597,25.59742546081543,37.40904998779297,51.402957916259766,28.11435890197754,38.02339172363281,23.03450584411621,32.85171890258789,28.90222930908203,50.1983642578125,16.843103408813477,14.205910682678224,261.7965393066406,76.10850524902344,19.70980453491211,10.63043975830078,15.096390724182127
2019-06-11,28.13086700439453,25.40404319763184,31.66248321533203,57.845985412597656,28.737966537475582,21.61735725402832,38.48744201660156,49.26420211791992,44.04268646240234,32.02943801879883,19.319305419921875,28.443553924560547,17.54405403137207,24.56057548522949,25.01666259765625,23.632369995117188,20.706336975097656,21.968191146850582,48.7684211730957,15.54003620147705,32.63920593261719,23.5378360748291,27.64221572875977,15.490654945373535,23.917072296142575,25.299108505249023,17.82887840270996,22.979263305664062,25.7300968170166,37.60918045043945,51.83221435546875,28.83267974853516,38.62547302246094,23.208824157714844,32.95270919799805,29.589555740356445,50.9052619934082,17.066608428955078,14.37641429901123,261.7331237792969,76.56482696533203,19.38750267028809,10.76750946044922,15.133370399475098
2019-06-12,29.35474967956543,25.347959518432617,31.344314575195312,58.22583770751953,28.52171516418457,21.340961456298828,38.07174301147461,48.80490112304688,44.16250228881836,31.94783973693848,19.18584251403809,28.32704734802246,17.365354537963867,24.386388778686523,25.024810791015625,23.464168548583984,20.23739051818848,21.704288482666016,48.22566604614258,15.447583198547363,32.61302947998047,23.43491554260254,27.535629272460938,15.261614799499512,23.72182846069336,25.059106826782227,17.776288986206055,22.86365509033203,25.534992218017575,37.45907974243164,51.30459213256836,28.45356750488281,37.95963668823242,22.984703063964844,32.79662322998047,29.606739044189453,49.95978927612305,17.058631896972656,14.37409210205078,261.27099609375,76.2910385131836,19.271808624267575,10.6669921875,15.031681060791016
2019-06-13,29.4467716217041,25.347959518432617,31.406394958496094,57.8007698059082,28.67085075378418,21.24883079528809,38.19826126098633,48.951881408691406,44.18817901611328,31.802791595458984,19.327646255493164,28.31928062438965,17.373125076293945,24.473485946655277,25.09817314147949,23.548267364501957,20.29398727416992,21.89621925354004,48.17227554321289,15.422371864318848,32.66537857055664,23.30824279785156,27.553390502929688,15.299787521362305,23.69742584228516,25.05083274841309,17.86644744873047,22.78884506225586,25.566205978393555,37.25059509277344,51.02737045288086,28.739561080932617,37.79671096801758,23.208824157714844,32.69562530517578,29.25448608398437,50.05699157714844,16.90696144104004,14.167165756225586,262.34912109375,76.46527862548828,18.72637939453125,10.440067291259766,14.99470043182373
2019-06-14,28.79342269897461,25.347959518432617,30.96405601501465,57.12246322631836,28.20854377746582,21.005939483642575,37.89101028442383,48.68548202514648,43.79447555541992,31.21351623535156,19.05237579345703,28.28044319152832,17.256572723388672,24.40380859375,25.000356674194336,23.287561416625977,20.11610984802246,21.792251586914062,48.04771041870117,15.220662117004396,32.534507751464844,23.149900436401367,27.180326461791992,15.192903518676758,23.494049072265625,24.86876678466797,17.82887840270996,22.639232635498047,25.347694396972656,36.97541427612305,50.66071701049805,28.094406127929688,37.59130096435547,23.13411903381348,32.26409149169922,29.27166748046875,49.47379302978516,16.875032424926758,14.639917373657228,262.0591735839844,76.10020446777344,18.67679786682129,10.333457946777344,15.0501708984375
