Date,ARGT,COLO,ECH,EDEN,EFNL,EIDO,EIRL,EIS,ENZL,EPHE,EPOL,EPU,EWA,EWC,EWD,EWG,EWH,EWI,EWJ,EWK,EWL,EWM,EWN,EWO,EWP,EWQ,EWS,EWT,EWU,EWW,EWY,EWZ,EZA,GREK,INDA,KSA,MCHI,NORW,QAT,SPY,THD,TUR,UAE,VNM
2016-05-16,18.378721237182617,23.48461532592773,26.049575805664062,49.3353271484375,21.26695442199707,17.842029571533203,34.11695098876953,41.32334518432617,31.59237289428711,33.897518157958984,14.380012512207031,22.39925575256348,13.270395278930664,20.034181594848636,21.099164962768555,20.105365753173828,13.8840970993042,17.321491241455078,39.65949249267578,14.068058013916016,24.49045181274414,21.9635066986084,20.221126556396484,10.75680160522461,20.11190223693848,18.57442092895508,13.82620906829834,15.687636375427246,21.859119415283203,40.04612350463867,42.2943000793457,17.35076904296875,31.392534255981445,19.490781784057617,24.01473999023437,19.199203491210938,34.01704406738281,14.925785064697266,12.96142864227295,176.6784210205078,51.60980987548828,29.429649353027344,10.996453285217283,12.81757926940918
2016-05-17,18.405725479125977,23.40563201904297,26.23297119140625,49.07748794555664,21.144176483154297,17.610004425048828,33.856651306152344,41.11273956298828,31.74439811706543,33.42411422729492,14.245841979980469,22.465072631835938,13.25019645690918,20.075069427490234,20.903398513793945,19.88572120666504,13.811139106750488,16.98894691467285,39.38808059692383,13.903656959533691,24.28758430480957,22.018007278442383,19.94663619995117,10.742684364318848,19.929128646850582,18.374610900878903,13.879899978637695,15.675114631652832,21.83153915405273,39.920387268066406,42.03186798095703,17.065616607666016,31.23148536682129,19.79423141479492,23.98800468444824,19.280881881713867,33.890647888183594,14.847041130065918,12.96142864227295,175.02935791015625,51.49446105957031,29.535816192626957,10.91609001159668,13.003472328186035
2016-05-18,18.378721237182617,23.037038803100582,25.880847930908203,48.81962966918945,21.096435546875,17.56199836730957,33.787235260009766,40.94600677490234,31.43273162841797,33.4598388671875,13.945930480957031,21.923921585083008,13.081875801086426,19.788864135742188,20.84539222717285,19.87788200378418,13.752772331237791,17.032320022583008,39.4220085144043,13.817538261413574,24.29569625854492,21.90900230407715,20.021493911743164,10.679158210754396,20.00955009460449,18.3438720703125,13.785937309265137,15.762757301330566,22.065990447998047,39.29957962036133,41.34614944458008,16.588302612304688,30.748321533203125,19.77088737487793,23.845434188842773,19.37367057800293,33.59571838378906,14.811248779296877,12.90810775756836,175.08065795898438,51.23298645019531,29.179407119750977,10.919440269470217,12.968064308166504
2016-05-19,18.162710189819336,22.56312561035156,25.69745445251465,48.69071578979492,20.95319938659668,17.241962432861328,33.778560638427734,40.61254119873047,31.181888580322266,32.90605163574219,13.669694900512695,21.660659790039062,13.04148006439209,19.64167594909668,20.67863273620605,19.68960952758789,13.67251682281494,17.00340461730957,39.15059661865234,13.833196640014648,24.198320388793945,21.82725715637207,19.90504646301269,10.601517677307127,19.87064743041992,18.27470970153809,13.624855041503906,15.574956893920898,21.900495529174805,38.89094161987305,41.36308288574219,16.414735794067383,30.806306838989254,19.537464141845703,23.453353881835938,19.21426773071289,33.30080795288086,14.703868865966797,12.90810775756836,174.47396850585938,50.48702621459961,28.929170608520508,10.869211196899414,12.782174110412598
2016-05-20,18.378721237182617,22.721101760864254,25.89552879333496,49.232200622558594,21.23284721374512,17.465991973876953,34.24710464477539,40.82315444946289,31.387126922607425,32.60235977172852,13.76440715789795,21.660659790039062,13.095343589782717,19.75615692138672,20.983156204223636,19.854347229003903,13.862208366394045,17.119075775146484,39.4220085144043,13.919312477111816,24.393075942993164,21.85450553894043,20.12131690979004,10.62975025177002,20.024173736572266,18.48988342285156,13.772513389587402,15.825358390808104,21.997034072875977,39.26027297973633,41.540863037109375,16.650293350219727,31.52137565612793,20.26107406616211,23.444446563720703,19.31815528869629,33.70526885986328,14.875673294067385,12.804197311401367,175.57618713378906,50.97920608520508,29.19457054138184,10.902695655822754,12.79102611541748
2016-05-23,18.39672470092773,22.721101760864254,25.844173431396484,49.30095291137695,21.178285598754883,17.513994216918945,34.307838439941406,40.77928161621094,31.21229362487793,32.513031005859375,13.701263427734377,21.71184730529785,13.007816314697266,19.723447799682617,20.88889503479004,19.752368927001957,13.796547889709473,17.032320022583008,39.25237655639648,13.934969902038574,24.441761016845703,21.80000305175781,20.11298942565918,10.672099113464355,19.91451072692871,18.397668838500977,13.772513389587402,16.200958251953125,21.928075790405277,38.90666580200195,41.6932373046875,16.148178100585938,31.418302536010746,21.078052520751957,23.337512969970703,19.31815528869629,33.66313934326172,14.804088592529297,12.551257133483888,175.3369598388672,50.43320083618164,29.111160278320312,10.715180397033691,12.711359024047852
2016-05-24,18.47772216796875,22.61578750610352,25.807497024536133,49.75648880004883,21.369264602661133,17.586000442504883,34.88050079345703,41.55150985717773,31.16667938232422,33.20081329345703,13.827544212341309,21.353515625,13.04148006439209,19.75615692138672,21.25867462158203,20.081832885742188,13.97164821624756,17.46608543395996,39.557708740234375,14.075886726379396,24.677095413208008,21.80000305175781,20.495620727539062,10.806206703186035,20.30929183959961,18.75117301940918,13.812779426574709,16.28860092163086,22.507308959960938,39.165992736816406,41.52393341064453,16.265960693359375,31.9272403717041,20.891313552856445,23.453353881835938,18.65201187133789,34.29511260986328,15.054643630981444,12.592275619506836,177.60972595214844,50.87155151367188,30.756671905517575,10.855816841125488,12.74676513671875
2016-05-25,18.5947265625,22.484146118164062,26.005556106567383,50.30656814575195,21.635269165039062,17.826030731201172,35.45316696166992,41.74456787109375,31.44793701171875,33.34373092651367,14.04063892364502,21.70453643798828,13.122271537780762,20.124134063720703,21.43268775939941,20.27794647216797,14.154045104980469,17.769712448120117,39.82912826538086,14.185487747192385,24.806928634643555,21.9635066986084,20.67030143737793,10.940313339233398,20.74794006347656,18.93561172485352,13.906747817993164,16.451358795166016,22.78313446044922,39.43317031860352,42.25196838378906,16.17917251586914,32.28799819946289,20.23773002624512,24.04146957397461,18.802690505981445,34.632164001464844,15.276558876037598,12.633289337158203,178.8144989013672,51.36372756958008,30.559518814086918,11.04668140411377,12.79102611541748
2016-05-26,18.75673484802246,22.53680419921875,26.21096420288086,50.478477478027344,21.942197799682617,17.970046997070312,35.34904861450195,41.72702026367188,31.455543518066406,33.20081329345703,14.127455711364746,21.697221755981445,13.169400215148926,20.222261428833008,21.59945678710937,20.4583683013916,14.161341667175291,17.798633575439453,39.79519271850586,14.326400756835938,24.98545265197754,22.099756240844727,20.80339241027832,11.010896682739258,20.66020965576172,19.09699249267578,13.947020530700684,16.56403923034668,22.71417808532715,39.70035934448242,42.27737808227539,16.32794761657715,33.003074645996094,20.307758331298828,24.478103637695312,18.802690505981445,34.64902877807617,15.362462997436523,12.633289337158203,178.86575317382812,51.65595626831055,30.415433883666992,11.083513259887695,12.552024841308594
2016-05-27,18.792734146118164,22.40516662597656,26.174285888671875,50.22061920166016,21.887636184692383,17.962047576904297,35.53126525878906,41.67436981201172,31.41753196716309,33.13827896118164,13.953824043273926,21.412019729614254,13.182868003845217,20.222261428833008,21.54145050048828,20.39561080932617,14.190522193908691,17.711881637573242,39.69341278076172,14.26377296447754,25.026031494140625,21.9635066986084,20.811710357666016,10.926197052001951,20.56517219543457,19.0201473236084,14.000710487365724,16.62664222717285,22.63142967224121,39.72392654418945,42.150390625,15.993207931518556,32.474815368652344,19.840913772583008,24.77216148376465,18.572710037231445,34.977638244628906,15.290878295898438,12.633289337158203,179.634765625,51.69441986083984,30.05903434753418,11.04333209991455,12.436949729919434
